corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,bike,start_lat,start_lon,ascents,rating
Sgùrr nan Eugallt,898m,NA,Sgùrr nan Eugallt,https://www.walkhighlands.co.uk/fortwilliam/sgurr-nan-eugallt.shtml,4.5,5,9.5,786,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.0953,-5.3714,595,NA
Shalloch on Minnoch,775m,NA,Shalloch on Minnoch via the north ridge,https://www.walkhighlands.co.uk/glasgow/shalloch-on-minnoch.shtml,3,4,9.5,425,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55.2212,-4.5258,1546,NA
Sron a' Choire Chnapanich,837m,NA,Meall Buidhe and Sron a' Choire Chnapanich from Loch Lyon,https://www.walkhighlands.co.uk/perthshire/sron-a-choire-chnapanich.shtml,6,6.5,15.75,921,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.544,-4.50676,1066,NA
Stob a' Choin,869m,NA,Stob a' Choin from Inverlochlarig,https://www.walkhighlands.co.uk/lochlomond/stob-a-choin.shtml,6.5,7,10.5,790,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,56.3329,-4.5156,1165,NA
Stob an Aonaich Mhòir,855m,NA,Stob an Aonaich Mhòir from Loch Rannoch,https://www.walkhighlands.co.uk/perthshire/stob-an-aonaich-mhoir.shtml,7.5,8.5,28.5,649,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,56.6921,-4.4151,697,NA
Stob Coire a' Chearcaill,771m,NA,Stob Coire a' Chearcaill from Loch Eil,https://www.walkhighlands.co.uk/fortwilliam/stob-coire-chearcaill.shtml,4.5,6,14,789,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,56.8449,-5.203,891,NA
Stob Dubh,883m,NA,"Stob Dubh via the northeast ridge, from Glen Etive",https://www.walkhighlands.co.uk/fortwilliam/stob-dubh.shtml,7.5,8,11.5,1005,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.6181,-4.9396,742,NA
Streap,909m,NA,Streap via Gleann Dubh Lighe,https://www.walkhighlands.co.uk/fortwilliam/streap.shtml,8,9,18.5,1197,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,56.8636,-5.3982,829,NA
The Brack,787m,NA,The Brack and Cnoc Coinnich from Ardgartan,https://www.walkhighlands.co.uk/lochlomond/the-brack.shtml,6,7.5,15.5,1086,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,56.1946,-4.7913,2511,NA
The Cobbler,884m,NA,The Cobbler from Arrochar,https://www.walkhighlands.co.uk/lochlomond/the-cobbler.shtml,4,6,11,920,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,56.206,-4.7507,11774,NA
The Fara,911m,NA,"The Fara, from Dalwhinnie",https://www.walkhighlands.co.uk/cairngorms/the-fara.shtml,6.5,7.5,21.5,775,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,56.9327,-4.2469,1509,NA
The Sow of Atholl,803m,NA,"The Sow of Atholl, from Dalnaspidal Lodge",https://www.walkhighlands.co.uk/perthshire/sow-of-atholl.shtml,2.5,3,7,393,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8308,-4.22154,1960,NA
White Coomb,821m,NA,White Coomb and Lochcraig Head via the Grey Mare's Tail,https://www.walkhighlands.co.uk/galloway/white-coomb.shtml,4,6,11.5,751,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,55.4176,-3.2874,3002,NA
