munro,height_wh,height_dobih,height_diff,region,xcoord,ycoord,grid_ref,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,first_route_title,site_key,time,scramble_exposed,wet
A' Chralaig,1120,1120,0,Kintail,209431,814791,NH094147,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,14.5,1150,a' Chralaig and Mullach Fraoch Choire from Cluanie,NH094147,7,Scramble,Boggy
Mullach Fraoch-choire,1102,1102,0,Kintail,209491,817151,NH094171,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,14.5,1150,a' Chralaig and Mullach Fraoch Choire from Cluanie,NH094171,7,Scramble,Boggy
An Socach,1069,1069,0,Loch Ness,210061,833274,NH100332,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,14,29,1826,The Loch Mullardoch Munros circuit,NH100332,12.5,Scramble,Boggy
Moruisg,928,928,0,Torridon,210114,849939,NH101499,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,7,12,978,Moruisg and Sgùrr nan Ceannaichean from Glen Carron,NH101499,6.5,Neither,Boggy
Beinn Fhionnlaidh,1005,1004.8,0.20000000000004547,Loch Ness,211560,828271,NH115282,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10,13,28,1727,"Càrn Eige, Mam Sodhail and Beinn Fhionnlaidh from Glen Affric",NH115282,11.5,Scramble,Both
Màm Sodhail,1181,1179.4,1.599999999999909,Loch Ness,212007,825332,NH120253,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10,13,28,1727,"Càrn Eige, Màm Sodhail and Beinn Fhionnlaidh from Glen Affric",NH120253,11.5,Scramble,Both
Càrn Eige,1183,1182.8,0.20000000000004547,Loch Ness,212355,826197,NH123261,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,10,13,28,1727,"Càrn Eige, Mam Sodhail and Beinn Fhionnlaidh from Glen Affric",NH123261,11.5,Scramble,Both
Sgùrr nan Conbhairean,1109,1109,0,Kintail,212988,813896,NH129138,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,8,17.5,1260,Sgùrr nan Conbhairean from Loch Cluanie,NH129138,7.5,Neither,Neither
Sàil Chaorainn,1002,999.2,2.7999999999999545,Kintail,213313,815442,NH133154,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,8,17.5,1260,Sgùrr nan Conbhairean from Loch Cluanie,NH133154,7.5,Neither,Neither
An Riabhachan,1129,1129,0,Loch Ness,213363,834483,NH133344,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,14,29,1826,The Loch Mullardoch Munros circuit,NH133344,12.5,Scramble,Boggy
