munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent
Beinn Tulaichean,Loch Lomond,946,Cruach Àrdrain and Beinn Tulaichean from Inverlochlarig,https://www.walkhighlands.co.uk/lochlomond/cruach-ardrain.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,12.5,1019
Beinn Udlamain,Cairngorms,1010,Beinn Udlamain and Sgàirneach Mhòr from Drumochter Pass,https://www.walkhighlands.co.uk/cairngorms/beinn-udlamain.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783
Ben Alder,Cairngorms,1148,"Ben Alder via the Long Leachas, with Beinn Bheòil",https://www.walkhighlands.co.uk/cairngorms/ben-alder.shtml,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,7,8,17,1021
Ben Avon,Cairngorms,1171,Ben Avon via Gleann an-Slugain (Deeside),https://www.walkhighlands.co.uk/cairngorms/ben-avon.shtml,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,8,10,33.5,1000
Ben Challum,Argyll,1025,Ben Challum from Kirkton Farm,https://www.walkhighlands.co.uk/argyll/ben-challum.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,11.5,910
Ben Chonzie,Perthshire,931,Ben Chonzie from Glen Lednock,https://www.walkhighlands.co.uk/perthshire/ben-chonzie.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,12.5,712
Ben Cruachan,Argyll,1126,Ben Cruachan and Stob Dàimh circuit,https://www.walkhighlands.co.uk/argyll/ben-cruachan.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,9,13.75,1376
Ben Hope,Sutherland,927,Ben Hope from Strathmore,https://www.walkhighlands.co.uk/sutherland/ben-hope.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,7.5,946
Ben Klibreck,Sutherland,961,Ben Klibreck from Strath Vagastie,https://www.walkhighlands.co.uk/sutherland/ben-klibreck.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,14.25,930
Ben Lawers,Perthshire,1214,Ben Lawers and Beinn Ghlas,https://www.walkhighlands.co.uk/perthshire/ben-lawers.shtml,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,6,11,942
